ano_de_construccion,banos,disposicion,dormitorios,estado,garajes,gastos_comunes,m2_de_la_terraza,m2_del_terreno,m2_edificados,price,tipo_propiedad,vivienda_social,zona
1985.0,2.0,al frente,2.0,excelente estado,1.0,12000.0,5.0,80.0,80.0,240000.0,apartamentos,0.0,malvin
2004.0,1.0,al frente,3.0,buen estado,1.0,0.0,0.0,75.0,55.0,130000.0,casas,0.0,carrasco - barrios con seguridad
2019.0,1.0,contrafrente,1.0,buen estado,0.0,0.0,0.0,56.0,56.0,162000.0,apartamentos,0.0,pocitos
1957.0,2.0,al frente,4.0,buen estado,0.0,0.0,0.0,95.0,140.0,186000.0,casas,0.0,union
2019.0,1.0,al frente,1.0,buen estado,1.0,0.0,0.0,48.0,48.0,162500.0,apartamentos,0.0,pocitos
2019.0,1.0,,0.0,buen estado,1.0,0.0,0.0,22.0,22.0,89610.0,apartamentos,0.0,tres cruces
2016.0,3.0,al frente,3.0,en construccion,1.0,0.0,0.0,127.0,127.0,358000.0,apartamentos,0.0,malvin
2019.0,1.0,contrafrente,2.0,buen estado,0.0,0.0,0.0,73.0,73.0,191438.0,apartamentos,0.0,la blanqueada
1984.0,3.0,,3.0,reciclada,1.0,0.0,0.0,222.0,215.0,300000.0,casas,0.0,la blanqueada
2020.0,2.0,al frente,2.0,buen estado,0.0,0.0,0.0,85.0,85.0,285000.0,apartamentos,0.0,puerto buceo
2019.0,1.0,contrafrente,1.0,buen estado,1.0,0.0,0.0,59.0,59.0,145000.0,apartamentos,0.0,parque batlle
2011.0,2.0,al frente,2.0,excelente estado,1.0,0.0,0.0,92.0,92.0,215000.0,apartamentos,0.0,malvin
2014.0,2.0,al frente,2.0,excelente estado,2.0,13000.0,0.0,97.0,97.0,310000.0,apartamentos,0.0,carrasco
1920.0,2.0,al frente,5.0,a reciclar,0.0,0.0,0.0,137.0,304.0,140000.0,casas,0.0,aguada
2009.0,3.0,al frente,3.0,excelente estado,2.0,18000.0,8.0,185.0,185.0,485000.0,apartamentos,0.0,pocitos
2014.0,2.0,al frente,2.0,excelente estado,1.0,14000.0,0.0,78.0,78.0,240000.0,apartamentos,0.0,pocitos
1959.0,1.0,interior,1.0,buen estado,0.0,1750.0,0.0,41.0,41.0,125000.0,apartamentos,0.0,parque rodo
1987.0,2.0,al frente,4.0,buen estado,1.0,0.0,0.0,108.0,208.0,230000.0,casas,0.0,parque rodo
1983.0,2.0,al frente,4.0,buen estado,2.0,10000.0,10.0,139.0,139.0,220000.0,apartamentos,0.0,centro
2019.0,1.0,al frente,0.0,buen estado,1.0,0.0,0.0,22.0,22.0,96820.0,apartamentos,0.0,tres cruces
1984.0,1.0,al frente,2.0,en construccion,1.0,4500.0,3.0,58.0,58.0,195000.0,apartamentos,0.0,pocitos
1936.0,1.0,al frente,3.0,buen estado,0.0,0.0,83.0,92.0,92.0,155000.0,casas,0.0,la blanqueada
1999.0,2.0,,3.0,excelente estado,1.0,5200.0,0.0,74.0,74.0,225000.0,apartamentos,0.0,pocitos
1969.0,2.0,al frente,4.0,a reciclar,2.0,0.0,7.0,689.0,220.0,440000.0,casas,0.0,carrasco
2019.0,1.0,interior,0.0,buen estado,0.0,0.0,0.0,25.0,25.0,97200.0,apartamentos,0.0,pocitos
1960.0,3.0,al frente,4.0,excelente estado,0.0,0.0,40.0,164.0,172.0,219000.0,casas,0.0,palermo
2019.0,1.0,contrafrente,1.0,buen estado,1.0,0.0,0.0,45.0,45.0,125400.0,apartamentos,0.0,cordon
2018.0,1.0,al frente,2.0,buen estado,1.0,0.0,0.0,55.0,55.0,196600.0,apartamentos,0.0,parque batlle
1962.0,3.0,al frente,4.0,buen estado,0.0,26500.0,0.0,176.0,176.0,750000.0,apartamentos,0.0,punta carretas
2018.0,1.0,al frente,1.0,en construccion,0.0,1.0,30.0,30.0,30.0,112000.0,apartamentos,1.0,prado
1969.0,1.0,al frente,1.0,buen estado,0.0,5821.0,0.0,44.0,44.0,128000.0,apartamentos,0.0,pocitos
1970.0,1.0,contrafrente,1.0,buen estado,0.0,1000.0,0.0,33.0,33.0,93000.0,apartamentos,0.0,pocitos
