banos,dormitorios,garajes,gastos_comunes,m2_del_terreno,m2_edificados,price,vivienda_social,disposición_frente,estado_rec_exc,zona_cat_1,zona_cat_2,zona_cat_3
1.0,1.0,0.0,1000.0,33.0,33.0,93000.0,0.0,0,0,0,0,1
2.0,3.0,1.0,0.0,456.0,102.0,140000.0,0.0,1,0,0,1,0
1.0,2.0,1.0,0.0,53.0,53.0,148800.0,0.0,1,0,0,1,0
2.0,3.0,1.0,8400.0,105.0,105.0,360000.0,0.0,1,1,0,0,1
2.0,4.0,1.0,8500.0,91.0,91.0,250000.0,0.0,1,1,0,0,1
1.0,2.0,0.0,4500.0,46.0,46.0,190000.0,0.0,1,0,0,0,1
1.0,2.0,1.0,3700.0,64.0,64.0,125000.0,1.0,0,0,0,1,0
1.0,1.0,1.0,0.0,47.0,47.0,143000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,2500.0,62.0,62.0,167000.0,0.0,1,0,0,0,1
2.0,3.0,0.0,3000.0,97.0,97.0,220000.0,0.0,1,1,0,1,0
1.0,3.0,0.0,3000.0,50.0,50.0,140000.0,0.0,0,0,0,1,0
2.0,2.0,0.0,3550.0,64.0,64.0,195000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,2000.0,34.0,34.0,120000.0,1.0,0,0,0,1,0
1.0,2.0,1.0,3600.0,75.0,75.0,141000.0,1.0,1,0,0,1,0
1.0,0.0,0.0,5400.0,42.0,42.0,133000.0,0.0,1,0,0,0,1
2.0,2.0,1.0,0.0,350.0,155.0,250000.0,0.0,1,1,0,1,0
1.0,1.0,0.0,0.0,43.0,35.0,113900.0,0.0,1,0,0,1,0
2.0,3.0,0.0,0.0,150.0,120.0,310000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,2000.0,45.0,45.0,90000.0,1.0,0,0,0,1,0
1.0,2.0,0.0,7000.0,62.0,62.0,175000.0,0.0,1,1,0,0,1
1.0,2.0,0.0,3000.0,55.0,55.0,93000.0,0.0,0,1,0,1,0
1.0,3.0,0.0,3200.0,70.0,70.0,245000.0,0.0,0,0,0,0,1
1.0,3.0,1.0,0.0,120.0,120.0,255000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,4500.0,56.0,56.0,170000.0,0.0,1,1,0,0,1
1.0,1.0,0.0,3500.0,28.0,28.0,90000.0,0.0,0,0,0,0,1
1.0,1.0,1.0,1.0,48.0,48.0,162500.0,0.0,1,0,0,0,1
1.0,2.0,1.0,5300.0,56.0,56.0,126000.0,0.0,1,1,0,1,0
2.0,2.0,2.0,11860.0,70.0,70.0,318000.0,0.0,1,1,0,0,1
3.0,3.0,1.0,20000.0,170.0,170.0,380000.0,0.0,1,0,0,0,1
2.0,4.0,1.0,6000.0,85.0,85.0,214000.0,0.0,1,1,0,0,1
1.0,2.0,1.0,0.0,216.0,90.0,115000.0,0.0,1,1,1,0,0
3.0,3.0,2.0,18000.0,178.0,178.0,750000.0,0.0,1,1,0,0,1
1.0,0.0,0.0,5000.0,39.0,39.0,149000.0,0.0,0,0,0,0,1
3.0,2.0,3.0,0.0,350.0,300.0,140000.0,0.0,1,0,0,1,0
1.0,2.0,1.0,0.0,260.0,200.0,240000.0,0.0,0,0,0,1,0
1.0,1.0,0.0,2800.0,45.0,45.0,119500.0,1.0,1,0,0,1,0
1.0,1.0,0.0,0.0,59.0,59.0,151000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,2500.0,75.0,75.0,180000.0,0.0,1,1,0,0,1
1.0,0.0,0.0,1900.0,65.0,65.0,99000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,700.0,70.0,70.0,115000.0,0.0,0,0,0,0,1
1.0,1.0,0.0,500.0,38.0,38.0,70000.0,0.0,0,1,0,1,0
1.0,1.0,0.0,3500.0,50.0,50.0,128000.0,0.0,1,1,0,0,1
2.0,4.0,1.0,0.0,300.0,100.0,360000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,1200.0,38.0,38.0,110000.0,0.0,0,0,0,0,1
2.0,2.0,1.0,0.0,108.0,108.0,130000.0,0.0,1,1,0,1,0
1.0,2.0,1.0,4000.0,60.0,60.0,185000.0,0.0,1,0,0,0,1
3.0,4.0,1.0,0.0,380.0,300.0,490000.0,0.0,1,0,0,1,0
1.0,1.0,0.0,5250.0,39.0,38.0,135000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,850.0,50.0,50.0,79000.0,0.0,1,0,1,0,0
2.0,2.0,0.0,0.0,95.0,71.0,245000.0,0.0,1,1,0,0,1
1.0,1.0,0.0,0.0,53.0,53.0,75000.0,0.0,0,0,0,1,0
1.0,2.0,0.0,2300.0,52.0,52.0,130000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,3450.0,38.0,38.0,141900.0,0.0,1,0,0,1,0
3.0,4.0,2.0,0.0,667.0,300.0,700000.0,0.0,1,1,0,0,1
3.0,3.0,1.0,19800.0,194.0,194.0,657000.0,0.0,1,1,0,0,1
1.0,4.0,4.0,0.0,621.0,303.0,640000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,0.0,48.0,43.0,189000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,4000.0,59.0,59.0,160000.0,0.0,0,1,0,0,1
2.0,2.0,1.0,0.0,67.0,67.0,225000.0,0.0,1,0,0,0,1
3.0,3.0,1.0,17000.0,152.0,152.0,385000.0,0.0,1,1,0,0,1
2.0,2.0,0.0,0.0,86.0,86.0,159800.0,0.0,1,0,0,0,1
2.0,3.0,1.0,11000.0,128.0,128.0,325000.0,0.0,1,1,0,0,1
1.0,3.0,1.0,3700.0,57.0,57.0,130800.0,0.0,0,0,0,1,0
1.0,2.0,1.0,0.0,70.0,54.0,145000.0,1.0,0,0,0,1,0
2.0,2.0,1.0,7463.0,70.0,70.0,280000.0,0.0,1,1,0,0,1
2.0,3.0,0.0,17500.0,109.0,109.0,450000.0,0.0,1,1,0,0,1
1.0,1.0,0.0,0.0,46.0,46.0,170000.0,0.0,0,0,0,0,1
